filename,plant_id,Diam1,NL,Vmax,Diam2,species
mertensii,CFO11,21.0,6,18.0,21.0,Aechmaea_mertensii
mertensii,CFO12,17.0,6,19.0,17.0,Aechmaea_mertensii
mertensii,CFO17,20.0,6,24.0,20.0,Aechmaea_mertensii
mertensii,CFO19,175.0,6,24.0,175.0,Aechmaea_mertensii
mertensii,CFO32,14.0,6,35.0,14.0,Aechmaea_mertensii
mertensii,CFO15,25.0,7,60.0,25.0,Aechmaea_mertensii
mertensii,a1,49.0,21,338.0,49.0,Aechmaea_mertensii
mertensii,a2,695.0,22,305.0,695.0,Aechmaea_mertensii
mertensii,a3,785.0,18,269.0,785.0,Aechmaea_mertensii
mertensii,a4,575.0,16,265.0,575.0,Aechmaea_mertensii
mertensii,a5,535.0,14,257.0,535.0,Aechmaea_mertensii
mertensii,a6,60.0,14,243.0,60.0,Aechmaea_mertensii
mertensii,a7,46.0,14,240.0,46.0,Aechmaea_mertensii
mertensii,a8,47.0,16,218.0,47.0,Aechmaea_mertensii
mertensii,a9,765.0,15,217.0,765.0,Aechmaea_mertensii
mertensii,a10,615.0,16,175.0,615.0,Aechmaea_mertensii
mertensii,a11,49.0,18,174.0,49.0,Aechmaea_mertensii
mertensii,a12,495.0,17,174.0,495.0,Aechmaea_mertensii
mertensii,a13,63.0,16,159.0,63.0,Aechmaea_mertensii
mertensii,a14,235.0,14,159.0,235.0,Aechmaea_mertensii
mertensii,a15,375.0,12,153.0,375.0,Aechmaea_mertensii
mertensii,a16,625.0,16,152.0,625.0,Aechmaea_mertensii
mertensii,a17,455.0,15,150.0,455.0,Aechmaea_mertensii
mertensii,a18,40.0,14,150.0,40.0,Aechmaea_mertensii
mertensii,a19,515.0,12,146.0,515.0,Aechmaea_mertensii
mertensii,a20,72.0,12,145.0,72.0,Aechmaea_mertensii
mertensii,a21,50.0,16,140.0,50.0,Aechmaea_mertensii
mertensii,a22,275.0,15,138.0,275.0,Aechmaea_mertensii
mertensii,a23,45.0,12,138.0,45.0,Aechmaea_mertensii
mertensii,a24,845.0,14,135.0,845.0,Aechmaea_mertensii
mertensii,a25,45.0,14,135.0,45.0,Aechmaea_mertensii
mertensii,a26,695.0,12,132.0,695.0,Aechmaea_mertensii
mertensii,a27,255.0,15,126.0,255.0,Aechmaea_mertensii
mertensii,a28,48.0,16,120.0,48.0,Aechmaea_mertensii
vriesea_prod,29,83.0,14,170.0,NA,Vrisea_splendens
vriesea_prod,28,56.0,12,96.0,NA,Vrisea_splendens
vriesea_prod,10,60.0,14,238.0,NA,Vrisea_splendens
vriesea_prod,12,93.0,17,105.0,NA,Vrisea_splendens
vriesea_prod,13,75.0,12,156.0,NA,Vrisea_splendens
vriesea_prod,14,81.0,13,212.0,NA,Vrisea_splendens
vriesea_prod,89,73.0,16,280.0,NA,Vrisea_splendens
vriesea_prod,26,76.0,17,244.0,NA,Vrisea_splendens
vriesea_prod,24,89.0,13,172.0,NA,Vrisea_splendens
vriesea_prod,9,77.0,14,232.0,NA,Vrisea_splendens
vriesea_prod,23,81.0,12,132.0,NA,Vrisea_splendens
vriesea_prod,32,87.0,14,188.0,NA,Vrisea_splendens
vriesea_prod,100,63.0,13,166.0,NA,Vrisea_splendens
vriesea_prod,99,51.0,14,144.0,NA,Vrisea_splendens
vriesea_prod,19,84.0,13,190.0,NA,Vrisea_splendens
vriesea_prod,15,83.0,14,160.0,NA,Vrisea_splendens
vriesea_prod,17,86.0,16,140.0,NA,Vrisea_splendens
vriesea_prod,132,67.0,14,112.0,NA,Vrisea_splendens
vriesea_prod,106,74.0,16,174.0,NA,Vrisea_splendens
vriesea_prod,1,69.0,12,228.0,NA,Vrisea_splendens
vriesea_prod,2,91.0,15,148.0,NA,Vrisea_splendens
vriesea_prod,38,61.0,16,150.0,NA,Vrisea_splendens
vriesea_prod,55,82.0,16,192.0,NA,Vrisea_splendens
vriesea_prod,3,50.0,12,98.0,NA,Vrisea_splendens
vriesea_prod,4,73.0,15,206.0,NA,Vrisea_splendens
vriesea_prod,117,80.0,16,196.0,NA,Vrisea_splendens
vriesea_prod,5,72.0,16,158.0,NA,Vrisea_splendens
vriesea_prod,6,60.0,17,194.0,NA,Vrisea_splendens
vriesea_prod,7,51.0,11,80.0,NA,Vrisea_splendens
vriesea_prod,8,55.0,12,108.0,NA,Vrisea_splendens
vriesea_prod,59,80.0,11,104.0,NA,Vrisea_splendens
vriesea_prod,60,61.0,13,230.0,NA,Vrisea_splendens
vriesea_prod,9,75.0,16,186.0,NA,Vrisea_splendens
vriesea_prod,17,77.0,12,152.0,NA,Vrisea_splendens
vriesea_prod,63,98.0,10,98.0,NA,Vrisea_splendens
vriesea_prod,10,85.0,12,260.0,NA,Vrisea_splendens
vriesea_prod,CM12,66.0,14,170.0,NA,Vrisea_splendens
vriesea_prod,11,92.0,13,160.0,NA,Vrisea_splendens
vriesea_prod,61,75.0,11,140.0,NA,Vrisea_splendens
vriesea_prod,12,81.0,14,270.0,NA,Vrisea_splendens
vriesea_prod,13,75.0,11,104.0,NA,Vrisea_splendens
vriesea_prod,104,78.0,13,120.0,NA,Vrisea_splendens
vriesea_prod,CM09,90.0,16,388.0,NA,Vrisea_splendens
vriesea_prod,14,86.0,14,286.0,NA,Vrisea_splendens
vriesea_prod,136,91.0,15,202.0,NA,Vrisea_splendens
vriesea_prod,66,74.0,14,146.0,NA,Vrisea_splendens
vriesea_prod,15,86.0,13,148.0,NA,Vrisea_splendens
vriesea_prod,68,79.0,12,194.0,NA,Vrisea_splendens
vriesea_prod,134-67,84.0,12,190.0,NA,Vrisea_splendens
vriesea_prod,143,97.0,14,151.0,NA,Vrisea_splendens
vriesea_prod,70,79.0,12,165.0,NA,Vrisea_splendens
vriesea_prod,P14,56.0,9,68.0,NA,Vrisea_splendens
vriesea_prod,P15,82.0,14,310.0,NA,Vrisea_splendens
vriesea_prod,P16,76.0,15,182.0,NA,Vrisea_splendens
vriesea_prod,137,101.0,19,300.0,NA,Vrisea_splendens
vriesea_prod,139,82.0,15,292.0,NA,Vrisea_splendens
vriesea_prod,18,52.0,11,82.0,NA,Vrisea_splendens
vriesea_prod,T8,81.0,15,290.0,NA,Vrisea_splendens
vriesea_prod,T10,70.0,15,202.0,NA,Vrisea_splendens
vriesea_prod,T9,86.0,17,368.0,NA,Vrisea_splendens
vriesea_prod,146,80.0,13,138.0,NA,Vrisea_splendens
vriesea_prod,156,65.0,13,120.0,NA,Vrisea_splendens
vriesea_prod,147,72.0,15,190.0,NA,Vrisea_splendens
vriesea_prod,149,65.0,16,220.0,NA,Vrisea_splendens
vriesea_prod,151,53.0,12,88.0,NA,Vrisea_splendens
vriesea_prod,152,83.0,16,284.0,NA,Vrisea_splendens
vriesea_prod,T31,55.0,16,280.0,NA,Vrisea_splendens
vriesea_prod,153,77.0,16,312.0,NA,Vrisea_splendens
vriesea_prod,154,74.0,15,336.0,NA,Vrisea_splendens
vriesea_prod,T33,70.0,13,144.0,NA,Vrisea_splendens
vriesea_prod,T28,69.0,13,92.0,NA,Vrisea_splendens
vriesea_prod,T34,80.0,14,190.0,NA,Vrisea_splendens
vriesea_prod,P1,43.0,11,375.0,NA,Vrisea_splendens
vriesea_prod,P2,34.0,8,8.0,NA,Vrisea_splendens
vriesea_prod,P3,32.0,9,59.0,NA,Vrisea_splendens
vriesea_prod,P4,27.0,11,10.0,NA,Vrisea_splendens
vriesea_prod,P5,42.0,9,30.0,NA,Vrisea_splendens
vriesea_prod,P6,19.0,8,5.0,NA,Vrisea_splendens
vriesea_prod,P7,27.0,8,15.0,NA,Vrisea_splendens
vriesea_prod,P8,28.0,9,40.0,NA,Vrisea_splendens
vriesea_prod,P9,27.0,7,17.0,NA,Vrisea_splendens
vriesea_prod,P10,23.0,10,21.0,NA,Vrisea_splendens
vriesea_prod,P11,18.0,6,15.0,NA,Vrisea_splendens
vriesea_prod,P12,23.0,7,105.0,NA,Vrisea_splendens
vriesea_prod,P13,24.0,9,11.0,NA,Vrisea_splendens
vriesea_prod,P14,44.0,7,45.0,NA,Vrisea_splendens
vriesea_prod,P15,21.0,8,55.0,NA,Vrisea_splendens
vriesea,9,70.0,14,260.0,NA,Vrisea_speledens
vriesea,18,78.0,17,220.0,NA,Vrisea_speledens
vriesea,21,86.0,13,232.0,NA,Vrisea_speledens
vriesea,25,97.0,15,222.0,NA,Vrisea_speledens
vriesea,31,80.0,14,337.0,NA,Vrisea_speledens
vriesea,33,75.0,14,282.0,NA,Vrisea_speledens
vriesea,35,69.0,10,205.0,NA,Vrisea_speledens
vriesea,37,80.0,14,268.0,NA,Vrisea_speledens
vriesea,41,62.0,13,110.0,NA,Vrisea_speledens
vriesea,42,85.0,16,338.0,NA,Vrisea_speledens
vriesea,43,91.0,15,287.0,NA,Vrisea_speledens
vriesea,44,79.0,17,320.0,NA,Vrisea_speledens
vriesea,47,84.0,16,300.0,NA,Vrisea_speledens
vriesea,49,65.0,11,310.0,NA,Vrisea_speledens
vriesea,50,56.0,10,286.0,NA,Vrisea_speledens
vriesea,51,39.0,13,200.0,NA,Vrisea_speledens
vriesea,52,69.0,11,154.0,NA,Vrisea_speledens
vriesea,53,82.0,14,312.0,NA,Vrisea_speledens
vriesea,54,80.0,13,190.0,NA,Vrisea_speledens
vriesea,57,86.0,16,188.0,NA,Vrisea_speledens
vriesea,72,93.0,13,219.0,NA,Vrisea_speledens
vriesea,75,91.0,16,194.0,NA,Vrisea_speledens
vriesea,76,75.0,15,168.0,NA,Vrisea_speledens
vriesea,77,76.0,18,256.0,NA,Vrisea_speledens
vriesea,78,65.0,15,260.0,NA,Vrisea_speledens
vriesea,79,72.0,14,170.0,NA,Vrisea_speledens
vriesea,80,84.0,17,262.0,NA,Vrisea_speledens
vriesea,81,73.0,15,200.0,NA,Vrisea_speledens
vriesea,82,72.0,15,154.0,NA,Vrisea_speledens
vriesea,85,59.0,15,208.0,NA,Vrisea_speledens
vriesea,87,69.0,15,236.0,NA,Vrisea_speledens
vriesea,88,80.0,14,166.0,NA,Vrisea_speledens
vriesea,39,80.0,12,215.0,NA,Vrisea_speledens
vriesea,1,21.0,7,4.0,NA,Vrisea_speledens
vriesea,2,205.0,9,19.0,NA,Vrisea_speledens
vriesea,3,40.0,10,20.0,NA,Vrisea_speledens
